transmission_line_id,transmission_circuit_id,owner,province,operating_region,number_of_circuits,current_type,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage,reactance,ttc_summer,ttc_winter,network_node_name_starting,latitude_starting,longitude_starting,network_node_code_starting,network_node_name_ending,latitude_ending,longitude_ending,network_node_code_ending,notes
25,,,,,,,,,,,735,,,,Node_23,45.8797991,-72.1392469,Node_23,Node_6,45.6474342,-73.3792461,Node_6,3
26,,,,,,,,,,,735,,,,Node_23,45.8797991,-72.1392469,Node_23,Node_22,45.4037181,-71.9185838,Node_22,3
27,,,,,,,,,,,735,,,,Node_24,47.5405027,-75.1679787,Node_24,Node_5,46.2022216,-74.5233463,Node_5,2
28,,,,,,,,,,,735,,,,Node_24,47.5405027,-75.1679787,Node_24,Node_15,49.8071778,-75.4563038,Node_15,3
29,,,,,,,,,,,735,,,,Node_24,47.5405027,-75.1679787,Node_24,Node_17,45.5995652,-73.924466,Node_17,1
30,,,,,,,,,,,735,,,,Node_25,48.883683,-72.442474,Node_25,Node_50,49.156563,-73.743324,Node_50,3
31,,,,,,,,,,,735,,,,Node_26,48.405959,-71.069183,Node_26,Node_25,48.883683,-72.442474,Node_25,1
32,,,,,,,,,,,735,,,,Node_27,46.8387013,-71.5763158,Node_27,Node_17,45.5995652,-73.924466,Node_17,1
33,,,,,,,,,,,735,,,,Node_27,46.8387013,-71.5763158,Node_27,Node_18,45.837338,-73.1499338,Node_18,1
34,,,,,,,,,,,735,,,,Node_25,48.883683,-72.442474,Node_25,Node_49,47.91461759575676,-71.90657030205759,Node_49,2
35,,,,,,,,,,,735,,,,Node_27,46.8387013,-71.5763158,Node_27,Node_49,47.91461759575676,-71.90657030205759,Node_49,2
36,,,,,,,,,,,735,,,,Node_27,46.8387013,-71.5763158,Node_27,Node_26,48.405959,-71.069183,Node_26,1
37,,,,,,,,,,,735,,,,Node_28,47.08114,-71.1993319,Node_28,Node_27,46.8387013,-71.5763158,Node_27,3
38,,,,,,,,,,,735,,,,Node_29,46.8033,-71.208,Node_29,Node_1,47.7370383,-69.5568875,Node_1,1
39,,,,,,,,,,,735,,,,Node_29,46.8033,-71.208,Node_29,Node_23,45.8797991,-72.1392469,Node_23,3
40,,,,,,,,,,,735,,,,Node_29,46.8033,-71.208,Node_29,Node_28,47.08114,-71.1993319,Node_28,2
41,,,,,,,,,,,735,,,,Node_30,46.1620946,-70.9279886,Node_30,Node_22,45.4037181,-71.9185838,Node_22,1
42,,,,,,,,,,,735,,,,Node_30,46.1620946,-70.9279886,Node_30,Node_29,46.8033,-71.208,Node_29,1
43,,,,,,,,,,,735,,,,Node_31,49.7965164,-68.7823319,Node_31,Node_26,48.405959,-71.069183,Node_26,1
44,,,,,,,,,,,735,,,,Node_32,49.3434837,-68.2572221,Node_32,Node_31,49.7965164,-68.7823319,Node_31,1
45,,,,,,,,,,,735,,,,Node_33,48.243882,-69.545517,Node_33,Node_29,46.8033,-71.208,Node_29,3
46,,,,,,,,,,,735,,,,Node_33,48.243882,-69.545517,Node_33,Node_32,49.3434837,-68.2572221,Node_32,3
47,,,,,,,,,,,735,,,,Node_34,50.2050486,-66.8400285,Node_34,Node_31,49.7965164,-68.7823319,Node_31,1
