timestamp,production_simulee_mw,production_hq_eolien_mw,ecart_mw
2024-01-01 00:00:00+00:00,372.6214384911864,820.0,-447.3785615088136
2024-01-01 01:00:00+00:00,340.4548108627676,761.0,-420.5451891372324
2024-01-01 02:00:00+00:00,337.32454722510613,593.0,-255.67545277489387
2024-01-01 03:00:00+00:00,325.4067601298154,512.0,-186.59323987018462
2024-01-01 04:00:00+00:00,326.2025962071045,428.0,-101.79740379289552
2024-01-01 05:00:00+00:00,306.35675892529935,445.0,-138.64324107470065
2024-01-01 06:00:00+00:00,270.6711902208912,424.0,-153.32880977910878
2024-01-01 07:00:00+00:00,233.29597539070855,480.0,-246.70402460929145
2024-01-01 08:00:00+00:00,234.56153091545048,490.0,-255.43846908454952
2024-01-01 09:00:00+00:00,249.8795044634734,496.0,-246.1204955365266
2024-01-01 10:00:00+00:00,235.4942307977741,570.0,-334.5057692022259
2024-01-01 11:00:00+00:00,220.7890321329779,548.0,-327.2109678670221
2024-01-01 12:00:00+00:00,217.02045264235824,507.0,-289.97954735764176
2024-01-01 13:00:00+00:00,176.10552317875008,440.0,-263.8944768212499
2024-01-01 14:00:00+00:00,185.87284988614505,370.0,-184.12715011385495
2024-01-01 15:00:00+00:00,168.7686352805718,354.0,-185.2313647194282
2024-01-01 16:00:00+00:00,128.38090746151371,310.0,-181.61909253848629
2024-01-01 17:00:00+00:00,97.85910526542472,268.0,-170.14089473457528
2024-01-01 18:00:00+00:00,92.42434960982804,327.0,-234.57565039017197
2024-01-01 19:00:00+00:00,105.21842542750228,346.0,-240.78157457249773
2024-01-01 20:00:00+00:00,132.83729962134328,304.0,-171.16270037865672
2024-01-01 21:00:00+00:00,166.55261548417403,374.0,-207.44738451582597
2024-01-01 22:00:00+00:00,182.6618915163557,445.0,-262.3381084836443
2024-01-01 23:00:00+00:00,246.58405431889912,537.0,-290.4159456811009
2024-01-02 00:00:00+00:00,299.647306384732,652.0,-352.352693615268
2024-01-02 01:00:00+00:00,363.0208108848233,867.0,-503.9791891151767
2024-01-02 02:00:00+00:00,475.54993577832266,882.0,-406.45006422167734
2024-01-02 03:00:00+00:00,555.7337492708622,1054.0,-498.2662507291378
2024-01-02 04:00:00+00:00,686.9531896262425,1156.0,-469.04681037375747
2024-01-02 05:00:00+00:00,732.1383521614241,1307.0,-574.8616478385759
2024-01-02 06:00:00+00:00,791.8040940294873,1342.0,-550.1959059705127
2024-01-02 07:00:00+00:00,776.498531536508,1475.0,-698.501468463492
2024-01-02 08:00:00+00:00,814.2957181608074,1563.0,-748.7042818391926
2024-01-02 09:00:00+00:00,831.801336246461,1585.0,-753.198663753539
2024-01-02 10:00:00+00:00,919.7018111132546,1683.0,-763.2981888867454
2024-01-02 11:00:00+00:00,976.0869571174644,1732.0,-755.9130428825356
2024-01-02 12:00:00+00:00,989.99545912654,1727.0,-737.00454087346
2024-01-02 13:00:00+00:00,957.2806955301412,1797.0,-839.7193044698588
2024-01-02 14:00:00+00:00,953.6864914311157,1777.0,-823.3135085688843
2024-01-02 15:00:00+00:00,769.7207992562642,1757.0,-987.2792007437358
2024-01-02 16:00:00+00:00,732.8710268339892,1662.0,-929.1289731660108
2024-01-02 17:00:00+00:00,726.3351680560041,1599.0,-872.6648319439959
2024-01-02 18:00:00+00:00,759.9332181304031,1473.0,-713.0667818695969
2024-01-02 19:00:00+00:00,763.9750044642306,1409.0,-645.0249955357694
2024-01-02 20:00:00+00:00,676.2317214109181,1398.0,-721.7682785890819
2024-01-02 21:00:00+00:00,780.3985412122117,1324.0,-543.6014587877883
2024-01-02 22:00:00+00:00,727.3021155273391,1312.0,-584.6978844726609
2024-01-02 23:00:00+00:00,794.37798472313,1238.0,-443.62201527687
2024-01-03 00:00:00+00:00,826.1500201050715,1199.0,-372.84997989492854
2024-01-03 01:00:00+00:00,850.1203176468314,1145.0,-294.8796823531686
2024-01-03 02:00:00+00:00,855.6227586813836,1154.0,-298.37724131861637
2024-01-03 03:00:00+00:00,864.6907224961473,1011.0,-146.30927750385274
2024-01-03 04:00:00+00:00,827.4273010601329,946.0,-118.57269893986711
2024-01-03 05:00:00+00:00,771.9436119068947,841.0,-69.05638809310528
2024-01-03 06:00:00+00:00,712.1593884258907,790.0,-77.84061157410929
2024-01-03 07:00:00+00:00,652.6276805718871,755.0,-102.37231942811286
2024-01-03 08:00:00+00:00,589.9709069470546,735.0,-145.02909305294543
2024-01-03 09:00:00+00:00,537.289970812569,694.0,-156.71002918743102
2024-01-03 10:00:00+00:00,568.8502279461242,650.0,-81.14977205387584
2024-01-03 11:00:00+00:00,466.7652215765307,573.0,-106.23477842346932
2024-01-03 12:00:00+00:00,402.0597867106513,477.0,-74.94021328934872
2024-01-03 13:00:00+00:00,328.1726204738787,398.0,-69.82737952612132
2024-01-03 14:00:00+00:00,231.35543405303855,285.0,-53.64456594696145
2024-01-03 15:00:00+00:00,112.92926766364502,191.0,-78.07073233635498
2024-01-03 16:00:00+00:00,108.79040270374492,172.0,-63.20959729625508
2024-01-03 17:00:00+00:00,116.19235483785268,148.0,-31.807645162147324
2024-01-03 18:00:00+00:00,150.86967513071238,90.0,60.86967513071238
2024-01-03 19:00:00+00:00,155.0078075000327,41.0,114.0078075000327
2024-01-03 20:00:00+00:00,173.88635583451452,26.0,147.88635583451452
2024-01-03 21:00:00+00:00,253.48251483684348,68.0,185.48251483684348
2024-01-03 22:00:00+00:00,318.8679800865325,133.0,185.8679800865325
2024-01-03 23:00:00+00:00,360.3294763876253,196.0,164.32947638762528
2024-01-04 00:00:00+00:00,368.9463136788236,291.0,77.94631367882363
2024-01-04 01:00:00+00:00,408.2892567132525,316.0,92.28925671325248
2024-01-04 02:00:00+00:00,414.7965869311308,378.0,36.796586931130776
2024-01-04 03:00:00+00:00,418.55368221197415,388.0,30.55368221197415
2024-01-04 04:00:00+00:00,405.6213139517965,412.0,-6.3786860482035195
2024-01-04 05:00:00+00:00,358.5215004528041,384.0,-25.478499547195895
2024-01-04 06:00:00+00:00,348.8798873053943,339.0,9.879887305394277
2024-01-04 07:00:00+00:00,318.3965558520247,329.0,-10.603444147975324
2024-01-04 08:00:00+00:00,305.4985841144582,244.0,61.4985841144582
2024-01-04 09:00:00+00:00,338.2770308060228,170.0,168.27703080602282
2024-01-04 10:00:00+00:00,308.11016494341504,146.0,162.11016494341504
2024-01-04 11:00:00+00:00,362.08143561292593,129.0,233.08143561292593
2024-01-04 12:00:00+00:00,330.98146504862746,169.0,161.98146504862746
2024-01-04 13:00:00+00:00,617.4461541364808,207.0,410.4461541364808
2024-01-04 14:00:00+00:00,615.3197166134286,224.0,391.31971661342857
2024-01-04 15:00:00+00:00,559.3346384723467,285.0,274.3346384723467
2024-01-04 16:00:00+00:00,573.9527423554208,379.0,194.9527423554208
2024-01-04 17:00:00+00:00,723.5020860995162,512.0,211.5020860995162
2024-01-04 18:00:00+00:00,725.7291303587473,545.0,180.72913035874728
2024-01-04 19:00:00+00:00,702.3779474600476,741.0,-38.62205253995239
2024-01-04 20:00:00+00:00,792.5806613809348,884.0,-91.41933861906523
2024-01-04 21:00:00+00:00,1149.8320133795394,1174.0,-24.167986620460624
2024-01-04 22:00:00+00:00,1173.9225671754334,875.0,298.9225671754334
2024-01-04 23:00:00+00:00,1049.5205344881786,1377.0,-327.47946551182145
2024-01-05 00:00:00+00:00,1100.13161050229,991.0,109.13161050228996
2024-01-05 01:00:00+00:00,1288.781719054043,1111.0,177.78171905404292
2024-01-05 02:00:00+00:00,1183.8454771660754,1454.0,-270.1545228339246
2024-01-05 03:00:00+00:00,1162.9426172397016,1562.0,-399.0573827602984
2024-01-05 04:00:00+00:00,1161.479774893488,1571.0,-409.52022510651204
2024-01-05 05:00:00+00:00,1080.5664239452565,1586.0,-505.4335760547435
2024-01-05 06:00:00+00:00,1015.1620899000736,1607.0,-591.8379100999264
2024-01-05 07:00:00+00:00,953.9583270698628,1520.0,-566.0416729301372
2024-01-05 08:00:00+00:00,945.9768527544674,1515.0,-569.0231472455326
2024-01-05 09:00:00+00:00,915.6112242459526,1456.0,-540.3887757540474
2024-01-05 10:00:00+00:00,695.1775892740341,1379.0,-683.8224107259659
2024-01-05 11:00:00+00:00,736.9194293509508,1686.0,-949.0805706490492
2024-01-05 12:00:00+00:00,686.050111136618,1614.0,-927.949888863382
2024-01-05 13:00:00+00:00,605.1459327752664,1580.0,-974.8540672247336
2024-01-05 14:00:00+00:00,506.84631629156297,1369.0,-862.153683708437
2024-01-05 15:00:00+00:00,515.1673936244492,1262.0,-746.8326063755508
2024-01-05 16:00:00+00:00,492.7995323473201,1215.0,-722.2004676526799
